# Time, VRMS, Nu
3.472625514674904709e-04 9.966988100976122311e+00 4.815197643831792220e+02
3.486834459351921154e-04 9.967036417370104928e+00 4.815068924166761235e+02
3.501044034371215540e-04 9.967084717495296786e+00 4.814941236432129585e+02
3.515254257385960627e-04 9.967133001169900197e+00 4.814812083081365586e+02
3.529465112487811351e-04 9.967181268328397792e+00 4.814683980415881024e+02
3.543676617406913950e-04 9.967229518784700204e+00 4.814554434581897908e+02
3.557888756044967887e-04 9.967277752469964724e+00 4.814425958474765253e+02
3.572101546204945800e-04 9.967325969193991497e+00 4.814296061703932423e+02
3.586314971604022991e-04 9.967374168884623131e+00 4.814167253960236508e+02
3.600529050113510446e-04 9.967422351347796194e+00 4.814037048106821430e+02
3.614743765271011939e-04 9.967470516508166511e+00 4.813907950811736214e+02
3.628959135011351018e-04 9.967518664167938525e+00 4.813777478002194243e+02
3.643175142697060997e-04 9.967566794248698514e+00 4.813648133484745131e+02
3.657391806321315018e-04 9.967614906549071563e+00 4.813517436082031509e+02
3.671609109075662830e-04 9.967663000987704081e+00 4.813387886879020243e+02
3.685827069006122675e-04 9.967711077359798111e+00 4.813257007446580928e+02
3.700045669136972507e-04 9.967759135581180985e+00 4.813127296266144413e+02
3.714264927561227478e-04 9.967807175443731182e+00 4.812996277532105864e+02
3.728484827139279170e-04 9.967855196860599065e+00 4.812866447217905375e+02
3.742705386004941260e-04 9.967903199620520738e+00 4.812735332039056857e+02
3.756926586857826825e-04 9.967951183634028212e+00 4.812605425534072197e+02
3.771148447865995692e-04 9.967999148686866207e+00 4.812474256826230885e+02
3.785370951571243384e-04 9.968047094687088716e+00 4.812344317171194348e+02
3.799594116168817726e-04 9.968095021417532564e+00 4.812213137975655854e+02
3.813817924045412072e-04 9.968142928783887413e+00 4.812083208131876972e+02
3.828042393416393788e-04 9.968190816566284695e+00 4.811952061515638093e+02
3.842267506515772914e-04 9.968238684668092375e+00 4.811822184548248629e+02
3.856493281571379719e-04 9.968286532866853733e+00 4.811691113487400457e+02
3.870719700667261194e-04 9.968334361063744709e+00 4.811561332379312148e+02
3.884946782035608270e-04 9.968382169033855433e+00 4.811430379840021487e+02
3.899174507613102094e-04 9.968429956676267523e+00 4.811300737496371767e+02
3.913402895627881932e-04 9.968477723763740528e+00 4.811169946361091547e+02
3.927631927871945948e-04 9.968525470193331017e+00 4.811040485574548597e+02
3.941861622560587780e-04 9.968573195735613623e+00 4.810909898573593182e+02
3.956091961344014173e-04 9.968620900285744213e+00 4.810780662024000662e+02
3.970322962415371768e-04 9.968668583612188883e+00 4.810650321802789904e+02
3.984554607286098647e-04 9.968716245608279181e+00 4.810521351880459520e+02
3.998786914117823154e-04 9.968763886040555633e+00 4.810391300903858109e+02
4.013019864286332329e-04 9.968811504800575207e+00 4.810262639901008015e+02
4.027253475911808721e-04 9.968859101653064769e+00 4.810132920332140998e+02
4.041487730238108771e-04 9.968906676487915064e+00 4.810004610253321857e+02
4.055722645333618352e-04 9.968954229068167194e+00 4.809875264008145450e+02
4.069958202314271603e-04 9.969001759282081210e+00 4.809747346615567380e+02
4.084194419185912736e-04 9.969049266891163441e+00 4.809618415396394084e+02
4.098431276940898526e-04 9.969096751782124954e+00 4.809490932030041677e+02
4.112668793511740461e-04 9.969144213715058100e+00 4.809362457224258947e+02
4.126906949771838823e-04 9.969191652575169371e+00 4.809235448997710591e+02
4.141145763569097755e-04 9.969239068121240166e+00 4.809107471564380489e+02
4.155385215663343025e-04 9.969286460237134051e+00 4.808980979178806479e+02
4.169625323806248245e-04 9.969333828680415621e+00 4.808853539695294899e+02
4.183866068649866234e-04 9.969381173333598412e+00 4.808727603452201720e+02
4.198107467837777817e-04 9.969428493953184756e+00 4.808600742208914767e+02
4.212349501920389688e-04 9.969475790420442962e+00 4.808475401973652765e+02
4.226592188421259867e-04 9.969523062490898369e+00 4.808349158698736687e+02
4.240835507796021143e-04 9.969570310044602479e+00 4.808224453878589202e+02
4.255079477435901947e-04 9.969617532836315021e+00 4.808098867830637460e+02
4.269324077709116933e-04 9.969664730744892012e+00 4.807974837349082691e+02
4.283569325862149205e-04 9.969711903524402175e+00 4.807849947410183518e+02
4.297815202183512631e-04 9.969759051052587751e+00 4.807726629667998282e+02
4.312061723762534125e-04 9.969806173082972123e+00 4.807602474076784347e+02
4.326308870816494932e-04 9.969853269492201520e+00 4.807479906937093688e+02
4.340556660264913678e-04 9.969900340033404973e+00 4.807356523382736668e+02
4.354805072262771183e-04 9.969947384582221517e+00 4.807234744127986801e+02
4.369054123547159844e-04 9.969994402891403595e+00 4.807112169846725465e+02
4.383303794219984444e-04 9.970041394835664761e+00 4.806991215197135148e+02
4.397554100823409216e-04 9.970088360167583375e+00 4.806869486680681689e+02
4.411805023416271181e-04 9.970135298760924414e+00 4.806749392724547079e+02
