# Time, VRMS, Nusselt
2.987931870270000081e-02 3.348000294599999904e+01 1.034369831350000046e+00
2.991059678359999849e-02 3.349773706799999928e+01 1.034370576119999940e+00
2.994187018960000127e-02 3.350170579779999969e+01 1.034371534399999959e+00
2.997314470600000169e-02 3.351884410350000110e+01 1.034372707710000006e+00
3.000441444669999999e-02 3.352229004960000225e+01 1.034374097189999953e+00
3.003568526349999906e-02 3.353885320719999896e+01 1.034375704429999931e+00
3.006695120349999958e-02 3.354179870699999810e+01 1.034377530470000028e+00
3.009821818510000080e-02 3.355780774589999993e+01 1.034379577009999940e+00
3.012948018870000022e-02 3.356027582929999653e+01 1.034381844989999966e+00
3.016074319880000104e-02 3.357575202940000025e+01 1.034384336210000033e+00
3.019200112999999991e-02 3.357776628660000284e+01 1.034387051499999988e+00
3.022326003210000153e-02 3.359273107549999793e+01 1.034389992739999986e+00
3.025451375450000091e-02 3.359431552960000289e+01 1.034393160700000092e+00
3.028576841149999838e-02 3.360879038560000254e+01 1.034396557340000022e+00
3.031701778839999972e-02 3.360996937219999836e+01 1.034400183310000054e+00
3.034826806299999874e-02 3.362397573540000195e+01 1.034404040689999915e+00
3.037951295750000030e-02 3.362477378770000058e+01 1.034408130010000093e+00
3.041075871190000030e-02 3.363833297829999935e+01 1.034412453440000101e+00
3.044199898700000045e-02 3.363877471970000244e+01 1.034417011439999978e+00
3.047324008310000124e-02 3.365190786339999818e+01 1.034421806249999909e+00
3.050447560159999863e-02 3.365201790670000292e+01 1.034426838219999922e+00
3.053571190110000028e-02 3.366474586759999710e+01 1.034432109699999991e+00
3.056694252570000062e-02 3.366454872149999744e+01 1.034437620919999912e+00
3.059817389000000012e-02 3.367689204239999867e+01 1.034443374349999889e+00
3.062939948309999910e-02 3.367641202560000124e+01 1.034449370089999931e+00
3.066062577350000054e-02 3.368839087500000318e+01 1.034455610710000029e+00
3.069184619760000066e-02 3.368765203680000297e+01 1.034462096199999959e+00
3.072306727520000141e-02 3.369928616260000354e+01 1.034468829249999944e+00
3.075428239280000170e-02 3.369831221140000110e+01 1.034475809709999972e+00
3.078549811849999943e-02 3.370962090119999743e+01 1.034483040370000051e+00
3.081670779199999904e-02 3.370843513959999882e+01 1.034490520979999939e+00
3.084791802669999833e-02 3.371943718720000049e+01 1.034498254430000097e+00
3.087912211849999991e-02 3.371806245369999999e+01 1.034506240340000049e+00
3.091032672289999866e-02 3.372877613090000182e+01 1.034514481710000045e+00
3.094152509550000124e-02 3.372723474899999729e+01 1.034522978040000041e+00
3.097272393050000058e-02 3.373767778300000231e+01 1.034531732440000074e+00
3.100391644639999972e-02 3.373599151559999854e+01 1.034540744270000090e+00
3.103510937260000116e-02 3.374618107189999705e+01 1.034550016769999914e+00
3.106629589439999922e-02 3.374437108200000068e+01 1.034559549149999924e+00
3.109748277250000068e-02 3.375432375079999758e+01 1.034569344769999955e+00
3.112866316280000004e-02 3.375241056859999844e+01 1.034579402719999930e+00
3.115984385359999928e-02 3.376214235639999828e+01 1.034589726449999914e+00
3.119101797509999871e-02 3.376014585080000074e+01 1.034600314930000042e+00
3.122219233930000060e-02 3.376967217570000201e+01 1.034611171729999946e+00
3.125336005499999847e-02 3.376761153150000183e+01 1.034622295659999969e+00
3.128452795330000091e-02 3.377694722119999682e+01 1.034633690419999974e+00
3.131568912600000282e-02 3.377484092049999731e+01 1.034645354690000074e+00
3.134685041940000333e-02 3.378400021459999891e+01 1.034657292279999918e+00
3.137800491230000044e-02 3.378186602299999919e+01 1.034669501720000051e+00
3.140915946160000027e-02 3.379086257720000219e+01 1.034681986939999909e+00
3.144030713760000151e-02 3.378871753370000164e+01 1.034694746350000027e+00
3.147145480429999753e-02 3.379756426040000150e+01 1.034707783970000072e+00
3.150259552689999715e-02 3.379542483320000201e+01 1.034721098069999901e+00
3.153373617139999807e-02 3.380413441070000147e+01 1.034734692800000078e+00
3.156486980369999779e-02 3.380201597859999652e+01 1.034748566290000005e+00
3.159600328719999740e-02 3.381060038969999937e+01 1.034762722780000033e+00
3.162712969280000175e-02 3.380851781650000021e+01 1.034777160279999997e+00
3.165825587659999718e-02 3.381698844230000134e+01 1.034791883150000036e+00
3.168937491909999682e-02 3.381495582499999841e+01 1.034806889249999973e+00
3.172049366440000268e-02 3.382332354300000077e+01 1.034822183029999954e+00
3.175160520740000214e-02 3.382135425610000112e+01 1.034837762240000014e+00
3.178271637550000167e-02 3.382962942639999682e+01 1.034853631440000088e+00
3.181382028279999830e-02 3.382773612529999951e+01 1.034869788229999976e+00
3.184492373509999891e-02 3.383592860630000132e+01 1.034886237270000064e+00
3.187601987029999723e-02 3.383412323659999998e+01 1.034902976029999921e+00
3.190711546830000273e-02 3.384224240190000188e+01 1.034920009289999943e+00
3.193820369539999982e-02 3.384053621099999987e+01 1.034937334369999906e+00
3.196929130060000013e-02 3.384859096560000324e+01 1.034954956159999995e+00
3.200037148340000026e-02 3.384699451550000049e+01 1.034972871839999975e+00
3.203145095749999893e-02 3.385499331270000312e+01 1.034991086400000038e+00
3.206252295979999944e-02 3.385351649479999736e+01 1.035009596899999940e+00
3.209359416439999668e-02 3.386146735330000013e+01 1.035028408400000099e+00
3.212465785029999799e-02 3.386011940360000239e+01 1.035047517880000045e+00
3.215572064700000093e-02 3.386802992439999827e+01 1.035066930449999978e+00
3.218677588030000036e-02 3.386681944029999869e+01 1.035086642970000081e+00
3.221783013099999843e-02 3.387469682369999902e+01 1.035106660669999901e+00
3.224887677570000000e-02 3.387363178129999852e+01 1.035126980260000051e+00
3.227992234209999672e-02 3.388148284350000239e+01 1.035147607050000085e+00
3.231096026210000111e-02 3.388057061589999819e+01 1.035168537649999942e+00
3.234199700620000312e-02 3.388840180550000269e+01 1.035189777450000070e+00
3.237302606530000071e-02 3.388764918119999692e+01 1.035211322959999958e+00
3.240405384890000101e-02 3.389546659519999849e+01 1.035233179600000053e+00
3.243507391119999916e-02 3.389487979740000156e+01 1.035255343810000062e+00
3.246609259620000104e-02 3.390268919689999905e+01 1.035277821069999993e+00
3.249710352540000069e-02 3.390227390279999753e+01 1.035300607709999987e+00
3.252811297399999663e-02 3.391008072809999874e+01 1.035323709290000060e+00
3.255911463399999844e-02 3.390984208860000138e+01 1.035347122019999899e+00
3.259011470800000226e-02 3.391765147369999767e+01 1.035370851539999970e+00
3.262110696269999999e-02 3.391759413329999973e+01 1.035394893959999951e+00
3.265209752440000057e-02 3.392541092009999915e+01 1.035419254960000091e+00
3.268308023750000207e-02 3.392553903660000003e+01 1.035443930580000060e+00
3.271406114889999911e-02 3.393336778829999645e+01 1.035468926539999890e+00
3.274503418440000146e-02 3.393368505299999782e+01 1.035494238799999911e+00
3.277600530779999771e-02 3.394153006679999862e+01 1.035519873109999933e+00
3.280696852929999852e-02 3.394203972380000067e+01 1.035545825370000061e+00
3.283792972720000342e-02 3.394990504340000115e+01 1.035572101350000107e+00
3.286888299860000334e-02 3.395060990980000071e+01 1.035598696889999948e+00
3.289983413329999884e-02 3.395849933680000277e+01 1.035625617790000064e+00
3.293077731840000216e-02 3.395940182159999665e+01 1.035652859820000105e+00
3.296171825259999744e-02 3.396731892660000085e+01 1.035680428810000109e+00
3.299265121520000149e-02 3.396842105040000348e+01 1.035708320449999942e+00
3.302358181159999878e-02 3.397636918309999743e+01 1.035736540600000088e+00
3.305450441579999704e-02 3.397767259700000153e+01 1.035765084909999967e+00
3.308542453729999833e-02 3.398565489639999981e+01 1.035793959240000062e+00
3.311633664690000201e-02 3.398716090050000105e+01 1.035823159180000008e+00
3.314724615680000180e-02 3.399518030339999797e+01 1.035852690610000071e+00
3.317814763609999718e-02 3.399688986540000002e+01 1.035882549080000103e+00
3.320904639760000054e-02 3.400494911530000053e+01 1.035912740459999926e+00
3.323993711079999830e-02 3.400686288829999882e+01 1.035943260270000055e+00
3.327082498759999923e-02 3.401496454330000319e+01 1.035974114370000088e+00
3.330170479919999926e-02 3.401708288350000231e+01 1.036005298230000093e+00
3.333258165530000178e-02 3.402522932389999966e+01 1.036036817739999893e+00
3.336345042999999677e-02 3.402755230769999883e+01 1.036068668319999997e+00
3.339431612979999742e-02 3.403574574249999785e+01 1.036100855830000000e+00
3.342517373250000062e-02 3.403827318319999762e+01 1.036133375689999969e+00
3.345602814060000263e-02 3.404651565670000224e+01 1.036166233739999942e+00
3.348687443670000236e-02 3.404924712119999697e+01 1.036199425369999982e+00
3.351771741830000123e-02 3.405754051889999801e+01 1.036232956389999904e+00
3.354855227330000300e-02 3.406047534310000202e+01 1.036266822189999992e+00
3.357938369409999707e-02 3.406882139710000246e+01 1.036301028550000058e+00
3.361020697429999843e-02 3.407195870160000339e+01 1.036335570849999943e+00
3.364102670050000271e-02 3.408035899560000104e+01 1.036370454829999899e+00
3.367183827229999760e-02 3.408369770030000012e+01 1.036405675869999987e+00
3.370264617089999831e-02 3.409215367470000047e+01 1.036441239670000014e+00
3.373344590130000070e-02 3.409569251349999774e+01 1.036477141610000041e+00
3.376424183980000077e-02 3.410420546900000005e+01 1.036513387350000093e+00
3.379502959660000277e-02 3.410794300349999730e+01 1.036549972270000008e+00
3.382581344329999712e-02 3.411651410569999854e+01 1.036586901990000031e+00
3.385658909480000062e-02 3.412044873869999861e+01 1.036624171890000001e+00
3.388736071879999701e-02 3.412907902159999907e+01 1.036661787539999935e+00
3.391812413430000256e-02 3.413320900960000159e+01 1.036699744329999895e+00
3.394888340559999718e-02 3.414189937900000160e+01 1.036738047799999896e+00
3.397963445499999763e-02 3.414622284539999697e+01 1.036776693329999999e+00
3.401038124459999923e-02 3.415497408209999719e+01 1.036815686399999992e+00
3.404111979880000000e-02 3.415948902790000119e+01 1.036855022419999939e+00
3.407185397870000215e-02 3.416830179109999932e+01 1.036894706820000067e+00
3.410257990940000067e-02 3.417300610699999908e+01 1.036934735019999998e+00
3.413330135269999899e-02 3.418188093669999716e+01 1.036975112369999952e+00
3.416401453310000114e-02 3.418677241339999995e+01 1.037015834339999998e+00
3.419472311419999994e-02 3.419570973359999755e+01 1.037056906219999908e+00
3.422542329540000094e-02 3.420078607220000322e+01 1.037098323309999959e+00
3.425611786169999867e-02 3.420978616130000205e+01 1.037140089780000052e+00
3.428680312130000241e-02 3.421504474630000203e+01 1.037182200940000021e+00
3.431748265879999704e-02 3.422410743620000062e+01 1.037224662090000082e+00
